system:index,BG,BU,C,F,G,SI,SS,T,W,first,lat,lc,long,seqnum,.geo
1_0000000000000000135b,7742433,0,0,0,0,0,0,0,0,3,25.07065421266204,wc,25.880287764330156,1835.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001538,7865561,25784,237280,1918,13357,0,4132,18742,80222,3,31.74942720715391,wc,42.94483148130706,2312.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001393,7492836,25675,118545,199,493,0,7845,33445,36811,3,24.64478206662743,wc,31.635802469766503,1891.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000014e3,938854,31176,1125,217,12,0,1170007,28,521723,3,23.974216368174805,esri,37.389812984398326,2227.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000135a,6355990,20356,210,572,0,0,1240981,6,2,3,22.989818779014676,esri,24.08886241049551,1834.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000012f1,11402,258094,82904,1846,3643,274,775162,356810,4754518,8,37.96952366240917,esri,24.99310667924785,1729.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001340,7100830,0,2548,416,0,0,787712,0,0,3,27.292532980363788,esri,24.78180624326164,1808.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000000000000000014cb,1192166,665884,2427331,35046,2365,5,353319,12704,803708,8,31.12589014982892,esri,31.652384823678453,2203.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001505,380567,383517,4663167,2044,11083,15,3290434,285874,83358,4,39.58851361322578,esri,33.96483835748961,2261.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000151c,3492521,31426,15864,341,46,0,4553224,27,287,3,29.950046792532063,esri,40.73511655663073,2284.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001325,6074224,678,45,0,0,0,1978291,10,3982,3,29.495624963151798,esri,23.614251567291944,1781.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000001507,1171,29045,20843,73,2314,11,45639,62272,182537,8,44.08665935992824,esri,31.838874581136352,2263.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
